;cve.id
887;CVE-2025-39718
888;CVE-2025-39719
889;CVE-2025-39720
890;CVE-2025-39721
891;CVE-2025-39722
892;CVE-2025-39723
893;CVE-2025-39724
894;CVE-2025-39725
895;CVE-2025-39726
896;CVE-2025-9709
897;CVE-2025-9057
898;CVE-2025-10025
899;CVE-2025-10026
900;CVE-2025-10044
901;CVE-2025-9566
902;CVE-2025-10059
903;CVE-2025-10060
904;CVE-2025-10061
905;CVE-2025-53791
906;CVE-2025-10027
907;CVE-2025-57807
908;CVE-2025-58366
909;CVE-2025-58367
910;CVE-2025-58369
911;CVE-2025-58370
912;CVE-2025-58371
913;CVE-2025-58372
914;CVE-2025-58373
915;CVE-2021-26383
916;CVE-2025-58439
917;CVE-2025-6067
918;CVE-2025-7366
919;CVE-2025-7368
920;CVE-2025-9849
921;CVE-2025-10003
922;CVE-2025-58374
923;CVE-2025-58437
924;CVE-2025-8359
925;CVE-2025-8360
926;CVE-2025-9085
927;CVE-2025-9515
928;CVE-2025-9853
929;CVE-2025-7040
930;CVE-2025-7045
931;CVE-2025-8149
932;CVE-2025-8564
933;CVE-2025-8722
934;CVE-2025-9126
935;CVE-2025-9442
936;CVE-2025-9493
937;CVE-2025-6757
938;CVE-2025-10028
939;CVE-2025-10046
940;CVE-2025-9961
941;CVE-2025-10029
942;CVE-2025-10030
943;CVE-2025-10031
944;CVE-2025-10032
945;CVE-2025-10033
946;CVE-2025-10034
947;CVE-2021-26377
948;CVE-2021-46750
949;CVE-2023-20516
950;CVE-2023-31306
951;CVE-2023-31322
952;CVE-2023-31325
953;CVE-2023-31326
954;CVE-2023-31330
955;CVE-2023-31351
956;CVE-2023-31365
957;CVE-2024-21947
958;CVE-2024-21970
959;CVE-2024-36326
960;CVE-2024-36331
961;CVE-2024-36342
962;CVE-2024-36346
963;CVE-2024-36352
964;CVE-2024-36354
965;CVE-2025-0009
966;CVE-2025-0010
967;CVE-2025-0011
968;CVE-2025-0032
969;CVE-2025-0034
970;CVE-2025-58438
971;CVE-2025-58446
972;CVE-2025-58443
973;CVE-2025-58445
974;CVE-2025-10062
975;CVE-2025-10063
976;CVE-2025-10064
977;CVE-2025-10065
978;CVE-2025-10066
979;CVE-2025-36100
980;CVE-2025-10067
981;CVE-2025-10068
982;CVE-2025-39727
983;CVE-2025-39729
984;CVE-2025-39730
985;CVE-2025-39731
986;CVE-2025-39732
987;CVE-2025-39733
988;CVE-2025-39734
989;CVE-2025-48042
990;CVE-2025-10070
991;CVE-2025-10071
992;CVE-2025-10072
993;CVE-2025-10073
994;CVE-2025-10074
995;CVE-2025-10075
996;CVE-2025-10076
997;CVE-2025-10077
998;CVE-2025-10078
999;CVE-2025-10079
1000;CVE-2025-10080
1001;CVE-2025-10081
1002;CVE-2025-10082
1003;CVE-2025-10083
1004;CVE-2025-10084
1005;CVE-2025-58422
1006;CVE-2025-10085
1007;CVE-2025-10086
1008;CVE-2025-8085
1009;CVE-2025-10087
1010;CVE-2025-10088
1011;CVE-2025-41664
1012;CVE-2025-41682
1013;CVE-2025-41708
1014;CVE-2025-58782
1015;CVE-2019-25225
1016;CVE-2025-10090
1017;CVE-2014-125128
1018;CVE-2025-10091
1019;CVE-2025-5993
1020;CVE-2025-10092
1021;CVE-2025-10093
1022;CVE-2025-40641
1023;CVE-2025-40642
1024;CVE-2025-3212
1025;CVE-2025-22956
1026;CVE-2025-36853
1027;CVE-2025-36854
1028;CVE-2025-36855
1029;CVE-2022-50238
1030;CVE-2025-40928
1031;CVE-2025-40929
1032;CVE-2025-40930
1033;CVE-2025-52161
1034;CVE-2025-55998
1035;CVE-2025-56630
1036;CVE-2025-57141
1037;CVE-2025-59033
1038;CVE-2025-7709
1039;CVE-2025-10096
1040;CVE-2025-10097
1041;CVE-2025-10098
1042;CVE-2025-51586
1043;CVE-2025-10099
1044;CVE-2025-10100
1045;CVE-2025-56265
1046;CVE-2025-56266
1047;CVE-2025-56267
1048;CVE-2025-57285
1049;CVE-2024-48341
1050;CVE-2025-10102
1051;CVE-2025-10103
1052;CVE-2025-43722
1053;CVE-2025-55849
1054;CVE-2025-9112
1055;CVE-2025-9113
1056;CVE-2025-9114
1057;CVE-2025-10104
1058;CVE-2025-52389
1059;CVE-2025-53838
1060;CVE-2025-54994
1061;CVE-2025-10105
1062;CVE-2025-52288
1063;CVE-2025-10106
1064;CVE-2025-10108
1065;CVE-2025-57766
1066;CVE-2025-57815
1067;CVE-2025-57816
1068;CVE-2025-57817
1069;CVE-2025-58365
1070;CVE-2025-58444
1071;CVE-2025-58449
1072;CVE-2025-58450
1073;CVE-2025-58451
1074;CVE-2025-10109
1075;CVE-2025-10110
1076;CVE-2025-10111
1077;CVE-2025-1761
1078;CVE-2025-58452
1079;CVE-2025-58453
1080;CVE-2025-58454
1081;CVE-2025-58745
1082;CVE-2025-58746
1083;CVE-2025-58751
1084;CVE-2025-58752
1085;CVE-2025-10112
1086;CVE-2025-10113
1087;CVE-2025-43763
1088;CVE-2025-58755
1089;CVE-2025-58756
1090;CVE-2025-58757
1091;CVE-2025-10114
1092;CVE-2025-10115
1093;CVE-2025-10116
1094;CVE-2025-10117
1095;CVE-2025-10118
1096;CVE-2025-10120
1097;CVE-2025-10121
1098;CVE-2025-42911
1099;CVE-2025-42912
1100;CVE-2025-42913
1101;CVE-2025-42914
1102;CVE-2025-42915
1103;CVE-2025-42916
1104;CVE-2025-42917
1105;CVE-2025-42918
1106;CVE-2025-42920
1107;CVE-2025-42922
1108;CVE-2025-42923
1109;CVE-2025-42925
1110;CVE-2025-42926
1111;CVE-2025-42927
1112;CVE-2025-42929
1113;CVE-2025-42930
1114;CVE-2025-42933
1115;CVE-2025-42938
1116;CVE-2025-42944
1117;CVE-2025-42958
1118;CVE-2025-43778
1119;CVE-2025-10122
1120;CVE-2025-10123
1121;CVE-2025-43777
1122;CVE-2025-9489
1123;CVE-2025-8889
1124;CVE-2025-9058
1125;CVE-2025-9061
1126;CVE-2025-9111
1127;CVE-2025-9539
1128;CVE-2025-9542
1129;CVE-2025-10134
1130;CVE-2025-40594
1131;CVE-2025-40757
1132;CVE-2025-40795
1133;CVE-2025-40796
1134;CVE-2025-40797
1135;CVE-2025-40798
1136;CVE-2025-40802
1137;CVE-2025-40803
1138;CVE-2025-40804
1139;CVE-2025-41701
1140;CVE-2025-59013
1141;CVE-2025-59014
1142;CVE-2025-59015
1143;CVE-2025-59016
1144;CVE-2025-59017
1145;CVE-2025-59018
1146;CVE-2025-59019
1147;CVE-2025-10095
1148;CVE-2025-24404
1149;CVE-2025-48208
1150;CVE-2025-8277
1151;CVE-2025-7350
