cve.id,cvss_baseScore,cve.lastModified
CVE-2024-40653,7.3,2025-09-04T17:47:27.360
CVE-2024-49720,7.8,2025-09-04T17:47:36.147
CVE-2024-49722,5.5,2025-09-04T17:47:47.153
CVE-2024-49728,5.5,2025-09-04T16:40:12.073
CVE-2024-49730,7.8,2025-09-04T16:40:08.027
CVE-2025-22416,7.8,2025-09-04T16:40:02.630
CVE-2025-22417,7.3,2025-09-04T16:39:57.460
CVE-2025-22418,7.8,2025-09-04T16:39:53.440
CVE-2025-22419,7.3,2025-09-04T16:39:48.287
CVE-2025-22421,5.5,2025-09-04T16:39:43.093
CVE-2025-22422,7.8,2025-09-04T16:39:34.760
CVE-2025-22423,7.5,2025-09-04T16:39:29.267
CVE-2025-22427,7.3,2025-09-04T16:39:24.680
CVE-2025-22428,7.8,2025-09-04T16:39:12.667
CVE-2025-22429,9.8,2025-09-04T16:39:18.600
CVE-2025-22430,5.5,2025-09-04T16:38:27.680
CVE-2025-22431,5.5,2025-09-04T16:39:07.903
CVE-2025-22433,7.8,2025-09-04T16:38:21.577
CVE-2025-22434,7.8,2025-09-04T16:38:14.710
CVE-2025-22435,9.8,2025-09-04T16:38:05.697
CVE-2025-22437,7.8,2025-09-04T16:37:56.803
CVE-2025-22438,7.8,2025-09-04T16:37:48.160
CVE-2025-22439,7.3,2025-09-04T16:37:34.810
CVE-2025-22442,7.0,2025-09-04T16:37:40.630
CVE-2025-26416,9.8,2025-09-04T16:37:27.790
CVE-2025-9838,9.8,2025-09-05T17:38:42.373
CVE-2025-9839,9.8,2025-09-05T17:37:06.910
CVE-2025-9840,9.8,2025-09-05T17:35:22.710
CVE-2025-54588,7.5,2025-09-08T15:19:04.350
CVE-2025-9260,6.5,2025-09-04T15:36:56.447
CVE-2025-9841,8.8,2025-10-23T20:06:00.793
CVE-2025-9842,7.5,2025-10-20T19:48:43.440
CVE-2025-57806,,2025-09-04T15:36:56.447
CVE-2025-9843,7.5,2025-10-20T19:46:43.710
CVE-2025-9845,5.4,2025-09-08T13:57:12.637
CVE-2025-58163,8.8,2025-09-08T15:03:47.560
CVE-2025-7039,3.7,2025-09-04T15:36:56.447
CVE-2025-9847,9.8,2025-09-10T18:14:19.687
CVE-2025-9848,7.5,2025-09-10T18:12:02.770
CVE-2025-58176,8.8,2025-09-11T21:20:57.600
CVE-2025-58351,6.8,2025-10-20T18:46:57.850
CVE-2025-9785,,2025-09-04T15:36:56.447
CVE-2023-21466,3.3,2025-09-08T15:02:31.317
CVE-2023-21467,9.8,2025-09-08T14:58:47.333
CVE-2023-21468,7.8,2025-09-19T20:37:04.000
CVE-2023-21469,3.3,2025-09-19T20:36:54.527
CVE-2023-21470,3.3,2025-09-19T20:36:42.210
CVE-2023-21471,3.3,2025-09-05T16:46:21.070
CVE-2023-21472,6.8,2025-09-05T16:46:00.447
CVE-2023-21473,6.8,2025-09-05T16:45:40.743
CVE-2023-21474,7.1,2025-09-19T20:36:06.023
CVE-2023-21475,7.8,2025-09-05T16:45:04.773
CVE-2023-21476,7.8,2025-09-05T16:44:32.270
CVE-2023-21477,5.5,2026-01-28T19:30:59.053
CVE-2023-21478,5.5,2025-09-19T20:34:05.350
CVE-2023-21479,5.3,2026-01-28T19:14:14.617
CVE-2023-21480,7.8,2025-09-19T20:33:52.943
CVE-2023-21481,7.5,2025-10-01T20:41:03.650
CVE-2023-21482,4.6,2025-10-01T20:40:12.210
CVE-2023-21483,5.5,2025-09-09T16:23:40.953
CVE-2023-3666,3.3,2026-01-16T16:38:05.313
CVE-2025-21025,4.4,2025-09-11T21:20:31.480
CVE-2025-21026,3.3,2025-09-11T21:21:25.810
CVE-2025-21027,4.4,2025-09-11T21:21:13.930
CVE-2025-21028,5.5,2025-09-11T21:22:12.790
CVE-2025-21029,3.3,2025-09-11T21:22:53.583
CVE-2025-21030,4.3,2025-09-04T15:36:56.447
CVE-2025-21031,6.8,2025-09-05T16:40:29.537
CVE-2025-21032,6.8,2025-09-11T21:23:27.173
CVE-2025-21033,5.5,2025-09-11T21:23:42.060
CVE-2025-21034,7.8,2025-09-11T21:23:51.530
CVE-2025-21035,4.6,2025-09-29T18:23:48.250
CVE-2025-21036,5.0,2025-09-09T16:22:42.107
CVE-2025-21037,4.3,2025-09-09T16:22:16.267
CVE-2025-21038,3.3,2025-09-05T16:52:00.727
CVE-2025-21039,3.3,2025-09-05T16:49:12.003
CVE-2025-21040,3.3,2025-09-05T16:43:58.663
CVE-2025-21041,5.5,2025-09-19T20:13:14.480
CVE-2025-58272,3.7,2025-09-04T15:36:56.447
CVE-2024-32444,9.8,2026-01-14T21:40:46.957
CVE-2025-58210,9.8,2026-01-28T19:12:31.440
CVE-2025-8663,6.5,2025-11-26T16:27:53.490
CVE-2025-9378,6.4,2025-09-04T15:36:56.447
CVE-2025-9817,7.5,2025-12-05T16:26:10.933
CVE-2014-125127,7.5,2025-12-18T17:47:22.013
CVE-2024-13063,6.8,2025-09-04T15:36:56.447
CVE-2024-13064,4.3,2025-09-04T15:36:56.447
CVE-2024-13065,6.3,2025-09-04T15:36:56.447
CVE-2024-43115,8.8,2025-11-04T22:16:03.113
CVE-2025-1740,9.8,2025-09-04T15:36:56.447
CVE-2025-2415,8.6,2025-09-04T15:36:56.447
CVE-2025-9219,4.3,2025-09-04T15:36:56.447
CVE-2024-43166,9.8,2025-11-04T22:16:03.300
CVE-2025-9821,2.7,2025-09-04T15:36:56.447
CVE-2025-41000,,2025-09-04T15:36:56.447
CVE-2024-13066,4.3,2025-09-04T15:36:56.447
CVE-2025-38678,5.5,2025-12-06T22:15:51.587
CVE-2025-3701,4.3,2025-09-04T15:36:56.447
CVE-2025-53691,8.8,2025-09-08T18:30:40.133
CVE-2025-53693,9.8,2025-09-08T18:28:13.110
CVE-2025-53694,7.5,2025-09-08T18:11:15.357
CVE-2025-9901,5.9,2025-09-04T15:36:56.447
CVE-2024-13068,7.3,2025-09-04T15:36:56.447
CVE-2025-0878,4.7,2025-09-04T15:36:56.447
